 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.470643140734434695e+00+0.000000000000000000e+00j), (7.194337084525916026e+00+0.000000000000000000e+00j), (1.065689100706558889e+01+0.000000000000000000e+00j), (1.439516125029838456e+01+0.000000000000000000e+00j), (1.786177207309110671e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.470450319968129804e+00+0.000000000000000000e+00j), (7.194336496181186646e+00+0.000000000000000000e+00j), (1.065669876787301362e+01+0.000000000000000000e+00j), (1.439515983599515891e+01+0.000000000000000000e+00j), (1.786157841969479065e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.469871859811423320e+00+0.000000000000000000e+00j), (7.194334731588337917e+00+0.000000000000000000e+00j), (1.065612205200667795e+01+0.000000000000000000e+00j), (1.439515559390711097e+01+0.000000000000000000e+00j), (1.786099746203889538e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.468907766718658081e+00+0.000000000000000000e+00j), (7.194331792070865816e+00+0.000000000000000000e+00j), (1.065516086462906209e+01+0.000000000000000000e+00j), (1.439514852649807608e+01+0.000000000000000000e+00j), (1.786002920774974356e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.467558051539842978e+00+0.000000000000000000e+00j), (7.194327679832632327e+00+0.000000000000000000e+00j), (1.065381521443883628e+01+0.000000000000000000e+00j), (1.439513863787070314e+01+0.000000000000000000e+00j), (1.785867366962869340e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.465822729660750667e+00+0.000000000000000000e+00j), (7.194322397955041026e+00+0.000000000000000000e+00j), (1.065208511381379708e+01+0.000000000000000000e+00j), (1.439512593376094607e+01+0.000000000000000000e+00j), (1.785693086578959310e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.463701821200793063e+00+0.000000000000000000e+00j), (7.194315950392990544e+00+0.000000000000000000e+00j), (1.064997057901241817e+01+0.000000000000000000e+00j), (1.439511042153033316e+01+0.000000000000000000e+00j), (1.785480081985248191e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.461195351270713871e+00+0.000000000000000000e+00j), (7.194308341969748000e+00+0.000000000000000000e+00j), (1.064747163043649536e+01+0.000000000000000000e+00j), (1.439509211015608336e+01+0.000000000000000000e+00j), (1.785228356119649007e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.458303350292037948e+00+0.000000000000000000e+00j), (7.194299578370753068e+00+0.000000000000000000e+00j), (1.064458829295647746e+01+0.000000000000000000e+00j), (1.439507101021908575e+01+0.000000000000000000e+00j), (1.784937912527309933e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.455025854381794659e+00+0.000000000000000000e+00j), (7.194289666136221228e+00+0.000000000000000000e+00j), (1.064132059630318317e+01+0.000000000000000000e+00j), (1.439504713388990353e+01+0.000000000000000000e+00j), (1.784608755398377511e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.451362905805805070e+00+0.000000000000000000e+00j), (7.194278612652862392e+00+0.000000000000000000e+00j), (1.063766857552893264e+01+0.000000000000000000e+00j), (1.439502049491265545e+01+0.000000000000000000e+00j), (1.784240889612513570e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.447314553504330803e+00+0.000000000000000000e+00j), (7.194266426144483972e+00+0.000000000000000000e+00j), (1.063363227154212609e+01+0.000000000000000000e+00j), (1.439499110858704789e+01+0.000000000000000000e+00j), (1.783834320790544226e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.442880853695708510e+00+0.000000000000000000e+00j), (7.194253115661581433e+00+0.000000000000000000e+00j), (1.062921173172076550e+01+0.000000000000000000e+00j), (1.439495899174850813e+01+0.000000000000000000e+00j), (1.783389055353829633e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.438061870563039690e+00+0.000000000000000000e+00j), (7.194238691070061975e+00+0.000000000000000000e+00j), (1.062440701060975456e+01+0.000000000000000000e+00j), (1.439492416274653586e+01+0.000000000000000000e+00j), (1.782905100591831626e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.432857677030199284e+00+0.000000000000000000e+00j), (7.194223163039094260e+00+0.000000000000000000e+00j), (1.061921817070862772e+01+0.000000000000000000e+00j), (1.439488664142142049e+01+0.000000000000000000e+00j), (1.782382464738551064e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.427268355634463859e+00+0.000000000000000000e+00j), (7.194206543027931389e+00+0.000000000000000000e+00j), (1.061364528335648139e+01+0.000000000000000000e+00j), (1.439484644907927979e+01+0.000000000000000000e+00j), (1.781821157058533345e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.421293999504044336e+00+0.000000000000000000e+00j), (7.194188843272144140e+00+0.000000000000000000e+00j), (1.060768842972274939e+01+0.000000000000000000e+00j), (1.439480360846574492e+01+0.000000000000000000e+00j), (1.781221187943308237e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.414934713449074621e+00+0.000000000000000000e+00j), (7.194170076768951816e+00+0.000000000000000000e+00j), (1.060134770191199571e+01+0.000000000000000000e+00j), (1.439475814373819063e+01+0.000000000000000000e+00j), (1.780582569019092887e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.408190615176398097e+00+0.000000000000000000e+00j), (7.194150257261942016e+00+0.000000000000000000e+00j), (1.059462320419323866e+01+0.000000000000000000e+00j), (1.439471008043677003e+01+0.000000000000000000e+00j), (1.779905313266831257e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.401061836639346581e+00+0.000000000000000000e+00j), (7.194129399225118959e+00+0.000000000000000000e+00j), (1.058751505436493900e+01+0.000000000000000000e+00j), (1.439465944545436038e+01+0.000000000000000000e+00j), (1.779189435155683086e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.393548525534839655e+00+0.000000000000000000e+00j), (7.194107517846425992e+00+0.000000000000000000e+00j), (1.058002338526768682e+01+0.000000000000000000e+00j), (1.439460626700555146e+01+0.000000000000000000e+00j), (1.778434950791194780e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.385650846961645755e+00+0.000000000000000000e+00j), (7.194084629010637499e+00+0.000000000000000000e+00j), (1.057214834645887969e+01+0.000000000000000000e+00j), (1.439455057459479903e+01+0.000000000000000000e+00j), (1.777641878079578674e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.377368985255792211e+00+0.000000000000000000e+00j), (7.194060749282021661e+00+0.000000000000000000e+00j), (1.056389010606429757e+01+0.000000000000000000e+00j), (1.439449239898398147e+01+0.000000000000000000e+00j), (1.776810236909630802e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.368703146018795280e+00+0.000000000000000000e+00j), (7.194035895886461418e+00+0.000000000000000000e+00j), (1.055524885282371095e+01+0.000000000000000000e+00j), (1.439443177215940217e+01+0.000000000000000000e+00j), (1.775940049353985373e+01+0.000000000000000000e+00j)
 (0.000000000000000000e+00+0.000000000000000000e+00j), (3.359653558359038783e+00+0.000000000000000000e+00j), (7.194010086693307215e+00+0.000000000000000000e+00j), (1.054622479834918103e+01+0.000000000000000000e+00j), (1.439436872729852190e+01+0.000000000000000000e+00j), (1.775031339891625137e+01+0.000000000000000000e+00j)
